t,y,y1,y2
36.4321256,-36.8115234375,19.0576171875,-2.5341796875
36.4536011,-38.1298828125,18.2275390625,-4.0966796875
36.4917083,-39.3017578125,17.2509765625,-5.9521484375
36.5137856,-40.6201171875,14.8583984375,-7.2216796875
36.5570956,-42.1337890625,12.3193359375,-10.0537109375
36.5776582,-43.0126953125,10.3662109375,-12.0068359375
36.6179832,-40.4736328125,7.4853515625,-13.8134765625
36.6387579,-37.5439453125,5.0439453125,-16.2548828125
36.6780051,-36.0791015625,2.7001953125,-17.7197265625
36.6998485,-34.5654296875,0.9423828125,-19.5751953125
36.7394212,-32.4658203125,-0.8154296875,-21.0888671875
36.7587236,-30.7080078125,-2.3779296875,-23.3349609375
36.7987945,-29.2431640625,-3.5986328125,-24.5556640625
36.8211359,-28.6083984375,-4.0380859375,-26.4599609375
36.8630938,-28.6083984375,-6.3818359375,-28.0224609375
36.8834001,-28.5107421875,-6.8701171875,-29.9267578125
36.9223788,-28.4619140625,-6.1376953125,-30.3662109375
36.9425556,-28.7548828125,-1.2060546875,-28.9501953125
36.9789541,-29.0478515625,3.4814453125,-24.1650390625
36.9996527,-29.5849609375,8.1201171875,-16.7919921875
37.0378861,-30.5615234375,12.9541015625,-9.6630859375
37.059085,-31.7822265625,17.6416015625,-3.3642578125
37.1018629,-32.4169921875,21.9873046875,1.5185546875
37.1211803,-33.7353515625,25.6982421875,6.4990234375
37.1644211,-35.2490234375,28.1884765625,8.4033203125
37.1822698,-35.5908203125,29.5068359375,8.9892578125
37.2231003,-36.9091796875,28.2861328125,6.7431640625
37.2427439,-38.5205078125,28.1396484375,5.5712890625
37.2847182,-39.7900390625,26.4794921875,3.4228515625
37.3048095,-40.0341796875,24.2822265625,1.4208984375
37.341945,-41.9873046875,23.4033203125,-0.0927734375
37.3623449,-43.4521484375,21.3037109375,-1.8505859375
37.4007859,-44.9658203125,20.2294921875,-3.3154296875
37.4225136,-45.9912109375,17.2998046875,-5.4638671875
37.462577,-47.6513671875,15.3955078125,-7.3681640625
37.4843854,-45.8935546875,12.2705078125,-9.6630859375
37.5237853,-42.9150390625,8.9013671875,-11.1279296875
37.5428243,-40.0341796875,6.3623046875,-12.7880859375
37.586861,-38.3740234375,3.2373046875,-14.3017578125
37.600913,-37.0068359375,1.6259765625,-16.3037109375
37.6451365,-34.8583984375,-0.4736328125,-17.7685546875
37.6662027,-32.8564453125,-2.0361328125,-19.5263671875
37.7059486,-31.0498046875,-3.7939453125,-20.9912109375
37.7203521,-30.8544921875,-5.9423828125,-22.4560546875
37.7593596,-30.9521484375,-7.6513671875,-23.8232421875
37.7816122,-31.5869140625,-8.5302734375,-25.6787109375
37.818472,-30.8544921875,-7.7978515625,-26.0693359375
37.840453,-30.8544921875,-2.8662109375,-22.7978515625
37.8769453,-32.2216796875,1.6259765625,-16.2060546875
37.902374,-33.3447265625,5.7275390625,-9.0283203125
37.9437785,-33.5400390625,10.6591796875,-1.2158203125
37.9637493,-35.6396484375,15.0537109375,4.8388671875
38.0038626,-35.3955078125,18.5693359375,10.0146484375
38.0245156,-36.8115234375,22.2802734375,13.3837890625
38.0663758,-38.1787109375,23.9892578125,15.1416015625
38.0835382,-39.2529296875,22.5244140625,14.6533203125
38.1224665,-40.1806640625,21.7431640625,12.2119140625
38.1433393,-41.6455078125,20.8154296875,10.0146484375
38.1848741,-42.3779296875,19.8388671875,9.4287109375
38.2056274,-43.3056640625,18.0810546875,7.7197265625
38.2481535,-45.4541015625,17.0068359375,5.7666015625
38.2635138,-45.8935546875,15.1025390625,3.9599609375
38.3174029,-47.6025390625,13.0029296875,1.4208984375
38.3370794,-48.9697265625,10.0244140625,0.3955078125
38.353864,-49.6044921875,8.4619140625,-1.8017578125
38.3946053,-47.6025390625,6.9482421875,-3.8037109375
38.4160364,-44.1845703125,4.9951171875,-6.0009765625
38.4551592,-42.1826171875,2.6025390625,-7.4658203125
38.475139,-40.4736328125,0.9423828125,-9.3701171875
38.5165633,-38.4228515625,-1.1572265625,-11.8115234375
38.5356541,-36.6162109375,-3.0126953125,-13.4228515625
38.5790863,-34.7607421875,-4.8193359375,-14.1552734375
38.5979105,-33.0517578125,-5.9912109375,-16.0107421875
38.6279296,-32.7099609375,-8.4814453125,-17.5732421875
38.6789938,-32.5634765625,-9.9951171875,-20.0634765625
38.7111445,-32.8564453125,-11.6552734375,-21.7724609375
38.7167073,-32.5146484375,-9.3603515625,-22.5048828125
38.7555054,-32.5146484375,-4.9169921875,-18.2568359375
38.7793793,-33.4423828125,-0.5712890625,-11.2744140625
38.8077215,-33.3447265625,3.7744140625,-5.0244140625
38.8554036,-34.7607421875,8.1201171875,1.1279296875
38.8764657,-36.2255859375,12.1728515625,5.4248046875
38.8979908,-36.7626953125,15.9326171875,9.5263671875
38.936867,-37.9833984375,18.0322265625,10.7470703125
38.9658779,-39.0087890625,19.3994140625,10.6494140625
38.9880462,-40.4248046875,16.9580078125,9.5751953125
39.0171054,-41.5966796875,16.3720703125,7.6220703125
39.0582516,-41.7431640625,15.7861328125,6.0595703125
39.0779711,-43.5009765625,14.6142578125,4.8876953125
39.1198707,-44.1845703125,12.9541015625,2.6416015625
39.1386678,-45.4052734375,11.5380859375,0.4931640625
39.1698407,-46.7236328125,9.9267578125,-1.7529296875
39.217052,-48.1884765625,7.2900390625,-3.5107421875
39.2297324,-49.5068359375,5.2392578125,-5.9521484375
39.2581668,-50.4833984375,3.1884765625,-7.6123046875
39.2886223,-48.3349609375,1.6748046875,-9.9072265625
39.3263922,-45.6494140625,-0.3759765625,-11.7138671875
39.3480192,-43.5009765625,-2.3779296875,-13.7158203125
39.3810067,-41.7431640625,-3.9892578125,-15.6201171875
39.4112443,-40.3271484375,-5.3564453125,-17.4755859375
39.4399267,-38.3251953125,-6.5283203125,-19.5751953125
39.469995,-37.5439453125,-7.9931640625,-21.0888671875
39.4999802,-36.1767578125,-9.3115234375,-22.9931640625
39.5337008,-36.0302734375,-10.2880859375,-25.0439453125
39.5613811,-36.4697265625,-11.5576171875,-26.8505859375
39.5911498,-36.2744140625,-13.0712890625,-28.1689453125
39.6224329,-36.0791015625,-9.3603515625,-28.0712890625
39.6554203,-36.3720703125,-3.9404296875,-23.8232421875
39.6809372,-37.5439453125,0.5517578125,-16.9873046875
39.7135542,-37.8369140625,4.9462890625,-10.8837890625
39.7590752,-38.8134765625,9.7802734375,-4.7314453125
39.7797826,-40.1806640625,14.4189453125,0.7861328125
39.8272509,-41.3525390625,18.6669921875,3.8623046875
39.8473231,-43.0126953125,21.8408203125,6.6943359375
39.8616835,-43.3544921875,23.8916015625,6.6455078125
39.8931049,-44.2333984375,23.5986328125,5.2783203125
39.9223093,-45.9423828125,23.2080078125,2.9345703125
39.9558886,-46.6748046875,23.5009765625,0.9814453125
40.0016525,-47.9931640625,20.9619140625,-0.5322265625
40.020827,-49.2138671875,20.1318359375,-2.2900390625
40.043577,-50.4345703125,18.5693359375,-4.0478515625
40.0745054,-52.1435546875,17.4951171875,-5.9033203125
40.1041477,-52.8759765625,15.2001953125,-8.2470703125
40.1579152,-53.9013671875,12.7099609375,-10.3955078125
40.1795796,-55.2197265625,10.4150390625,-12.0068359375
40.1976905,-53.0224609375,8.5107421875,-15.0830078125
40.2242007,-49.8974609375,6.5576171875,-16.5966796875
40.254138,-47.6025390625,5.2392578125,-18.2080078125
40.3021764,-45.9423828125,2.8466796875,-20.3076171875
40.322853,-43.9892578125,0.2587890625,-22.6025390625
40.3461986,-41.9873046875,-2.0849609375,-23.1396484375
40.3755885,-40.2294921875,-4.0869140625,-25.9228515625
40.4248842,-39.3505859375,-7.7001953125,-27.5830078125
40.4454247,-38.3740234375,-9.7509765625,-28.7548828125
40.4669591,-38.6669921875,-10.9228515625,-31.0986328125
40.4957476,-38.5205078125,-12.6318359375,-31.7333984375
40.5410275,-38.9599609375,-9.0673828125,-31.0009765625
40.5600402,-38.9111328125,-4.1357421875,-26.4111328125
40.6023696,-39.4970703125,-0.5712890625,-20.0634765625
40.6240326,-40.6201171875,3.1396484375,-12.6904296875
40.6620046,-41.5478515625,7.7783203125,-6.4404296875
40.682862,-41.7431640625,11.2451171875,-1.3134765625
40.7241053,-43.0615234375,15.5419921875,1.8603515625
40.7447456,-44.1357421875,19.3505859375,4.0576171875
40.7861594,-45.0146484375,19.7900390625,4.4482421875
40.798288,-46.3818359375,19.0576171875,2.8369140625
40.8369455,-47.0166015625,19.0087890625,0.7373046875
40.8605406,-47.8466796875,18.6181640625,-1.1669921875
40.9115144,-48.4814453125,17.4462890625,-2.5341796875
40.932381,-49.8974609375,16.1767578125,-4.4384765625
40.9497582,-51.0205078125,14.6142578125,-6.0498046875
40.9971608,-51.8017578125,13.8818359375,-7.6123046875
41.0171247,-52.8271484375,11.6357421875,-10.0048828125
41.0591576,-53.3642578125,8.9501953125,-12.2021484375
41.0795662,-53.9013671875,7.0458984375,-14.5947265625
41.0991984,-51.7041015625,4.3115234375,-16.4990234375
41.1325643,-48.4326171875,2.8466796875,-18.3056640625
41.1577061,-46.4306640625,1.1865234375,-20.1123046875
41.2046387,-44.5751953125,-0.9619140625,-22.0654296875
41.2256973,-42.2802734375,-2.9638671875,-24.5068359375
41.2727132,-39.9853515625,-4.7705078125,-25.4833984375
41.29737,-37.7392578125,-6.7724609375,-27.1435546875
41.3094549,-36.2744140625,-8.4326171875,-28.9990234375
41.3621873,-34.9072265625,-10.8740234375,-30.8056640625
41.3823007,-35.1025390625,-11.7041015625,-31.9287109375
41.4015039,-34.3212890625,-11.8017578125,-34.1259765625
41.4454436,-33.7353515625,-7.4560546875,-31.9775390625
41.4669506,-33.8330078125,-3.0126953125,-27.1923828125
41.5056334,-34.7119140625,0.0146484375,-20.6005859375
41.5272645,-34.9072265625,4.2138671875,-14.9853515625
41.5672706,-35.2978515625,7.9736328125,-9.2236328125
41.5883522,-36.0791015625,12.0751953125,-4.9755859375
41.6276796,-36.5185546875,15.0048828125,-2.5341796875
41.6491786,-38.2763671875,16.4697265625,-1.0693359375
41.6712508,-38.3251953125,14.9072265625,-1.8505859375
41.7031338,-39.8876953125,14.6142578125,-4.5849609375
41.7326958,-40.5712890625,13.7353515625,-5.8544921875
41.7743641,-41.4990234375,12.0263671875,-7.3681640625
41.7949567,-42.6708984375,11.8798828125,-8.5888671875
41.8345619,-42.9638671875,10.4638671875,-10.1513671875
41.8571564,-44.2822265625,9.5361328125,-13.0810546875
41.89814,-45.2099609375,7.1923828125,-14.3017578125
41.9190326,-46.3818359375,4.8974609375,-16.8408203125
41.9688039,-48.0419921875,3.2861328125,-19.2333984375
41.9905119,-48.3837890625,1.3818359375,-21.1865234375
42.0003778,-46.5283203125,-0.3271484375,-22.8955078125
42.0389217,-43.3544921875,-2.1337890625,-24.3115234375
42.0640179,-42.2314453125,-4.5751953125,-27.2412109375
42.1172165,-40.7666015625,-6.3818359375,-28.4130859375
42.1374888,-38.2275390625,-7.3583984375,-30.2197265625
42.1523913,-37.2021484375,-9.7021484375,-32.0263671875
42.1943466,-34.6142578125,-11.0693359375,-33.6376953125
42.2151815,-33.1005859375,-12.7294921875,-35.7373046875
42.2565468,-33.0029296875,-13.9501953125,-37.9345703125
42.2780451,-32.6611328125,-15.1708984375,-39.5458984375
42.3212737,-32.3193359375,-10.8251953125,-39.1552734375
42.3403175,-31.9287109375,-5.5029296875,-34.5654296875
42.383517,-32.0263671875,-1.7431640625,-28.8525390625
42.4039971,-33.1005859375,2.9931640625,-22.4072265625
42.4246954,-33.3935546875,7.8271484375,-17.6220703125
42.4576277,-34.0771484375,13.1005859375,-12.4951171875
42.4956949,-34.6142578125,16.8115234375,-8.9306640625
42.5174514,-35.7861328125,20.8642578125,-6.8798828125
42.5572208,-36.6650390625,21.0107421875,-7.3193359375
42.577942,-37.2998046875,20.7177734375,-8.8818359375
42.6179344,-38.1298828125,21.0107421875,-10.8837890625
